Time,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage
2020-02-15 05:09:00,0.0024374,1.0124303,0.0481759,0.0081651,0.0036551,65.81021881,0.0419559,0.0104708,0.0027906,65.81021881,0.0019899,0.9619807,3.241709471
2020-02-15 05:18:00,0.0034169,0.983099,0.0522578,0.0086778,0.0032932,65.81021881,0.0525772,0.0115188,0.0030248,65.81021881,0.0027387,0.959487,3.241709471
2020-02-15 05:28:00,0.0034582,0.9936279,0.0476382,0.0103502,0.0033041,66.27796173,0.0503932,0.0116325,0.003348,66.27796173,0.0017188,0.9723627,3.241220951
2020-02-15 05:38:00,0.0014652,0.9791234,0.0392119,0.0065931,0.0028593,65.84923401,0.0428264,0.0100441,0.0021837,65.84923401,0.0024722,0.955463,3.241123438
2020-02-15 05:49:00,0.0031839,0.9771959,0.0512568,0.0126929,0.0033635,66.04411087,0.0557567,0.0107987,0.0033268,66.04411087,0.0025862,0.9422214,3.241025686
2020-02-15 05:59:00,0.0019878,0.9886914,0.0404826,0.0115368,0.003045,65.1086731,0.0478572,0.0087666,0.0033616,65.1086731,0.0026022,0.9598683,3.240830421
2020-02-15 06:09:00,0.0019845,1.0047609,0.0469723,0.0081826,0.0032069,65.38148422,0.042225,0.0088353,0.0029453,65.38148422,0.0028113,0.9023525,3.241025686
2020-02-15 06:19:00,0.0015766,0.9887029,0.036805,0.0076532,0.0028643,65.38148422,0.0484841,0.0097594,0.0025366,65.38148422,0.0019481,1.0031996,3.241025686
2020-02-15 06:28:00,0.0012909,1.0192137,0.0416833,0.0063868,0.0028366,65.38148422,0.0470419,0.0101285,0.002266,65.38148422,0.0025024,0.934936,3.241025686
2020-02-15 06:38:00,0.0019681,0.9555168,0.0437924,0.0114875,0.0031793,64.99172363,0.047875,0.014829,0.0033244,64.99172363,0.0020307,0.9412167,3.240634918
2020-02-15 06:48:00,0.0029668,0.9930928,0.0390004,0.0105644,0.0026358,65.26458626,0.0535544,0.010307,0.0029423,65.26458626,0.0021825,0.9324629,3.240439415
2020-02-15 06:59:00,0.002477,0.9815283,0.0420264,0.0092463,0.0026358,64.91378937,0.0535544,0.010307,0.0034178,64.91378937,0.0021825,0.9324629,3.240439415
2020-02-15 07:09:00,0.0027128,1.0340404,0.0487792,0.0099573,0.0034791,64.71890564,0.0438948,0.0116926,0.0025749,64.71890564,0.003027,0.9453129,3.240341902
2020-02-15 07:19:00,0.0026551,0.9748197,0.0438953,0.0127981,0.0033777,64.71890564,0.0480285,0.0102329,0.0034762,64.71890564,0.003358,0.9388363,3.240341902
2020-02-15 07:29:00,0.002687,0.9671733,0.0414123,0.0086754,0.0031865,65.22557106,0.0412909,0.0090951,0.0033068,65.22557106,0.0027235,0.9457508,3.240341902
2020-02-15 07:38:00,0.0020053,1.0037253,0.0422635,0.0080742,0.0032283,64.87482224,0.0462167,0.0094797,0.0025179,64.87482224,0.0033567,0.9991859,3.240146637
2020-02-15 07:48:00,0.0027004,0.9724608,0.045425,0.0087399,0.0028219,64.87482224,0.0494052,0.0078562,0.003187,64.87482224,0.0015191,0.9771905,3.239853621
2020-02-15 07:58:00,0.0016888,1.0050256,0.0395707,0.0059298,0.0036055,64.64092331,0.0472308,0.0120773,0.0021835,64.64092331,0.0017436,0.9268777,3.240048885
2020-02-15 08:09:00,0.0023743,0.967346,0.0457433,0.0079797,0.0039431,64.64092331,0.0475821,0.0132685,0.0028061,64.64092331,0.003177,0.9723782,3.239462614
2020-02-15 08:19:00,0.0027357,0.9935474,0.0433285,0.0087194,0.004367,64.60195961,0.0516158,0.0165404,0.002691,64.60195961,0.0056298,0.948971,3.239267349
2020-02-15 08:29:00,0.0016129,0.9350286,0.0531232,0.0093225,0.0025143,64.44604301,0.0473528,0.0074298,0.0028132,64.44604301,0.0016594,0.9557773,3.238583565
2020-02-15 08:39:00,0.0019161,0.9837319,0.0475764,0.0099502,0.0032333,64.56299248,0.0425866,0.0105774,0.0029591,64.56299248,0.0021882,0.9769071,3.238974333
2020-02-15 08:48:00,0.0023644,0.9882541,0.0507012,0.0097963,0.00324,64.56299248,0.0476825,0.0078188,0.003146,64.56299248,0.0029425,0.9864699,3.238974333
2020-02-15 08:58:00,0.0023641,0.9826157,0.0448068,0.0094364,0.0031797,64.21219559,0.049911,0.0099734,0.0027871,64.21219559,0.002273,0.9851406,3.239462614
2020-02-15 09:08:00,0.0014704,0.9664944,0.0437932,0.0118271,0.0033983,64.29017792,0.0460324,0.0104634,0.0030858,64.29017792,0.0029812,0.945519,3.238485813
2020-02-15 09:19:00,0.0023435,0.9651136,0.0403125,0.0090275,0.0033542,64.52402534,0.0486284,0.0093532,0.0028426,64.52402534,0.0029013,0.9855425,3.238193035
2020-02-15 09:29:00,0.0019152,0.9999337,0.0404365,0.0080082,0.0032151,64.52402534,0.0553116,0.0115151,0.0026955,64.52402534,0.0028394,0.9498212,3.238095284
2020-02-15 09:39:00,0.0035428,0.9883519,0.0440653,0.0107725,0.0031773,64.44604301,0.0534364,0.0108669,0.003141,64.44604301,0.0022658,0.9626093,3.238583565
