Time,Y_Band 1,Y_Damage Accumulation,Y_Peak Acceleration,Y_Peak Velocity,X_RMS Velocity,X_Temperature,X_Peak Acceleration,X_Peak Velocity,Y_RMS Velocity,Y_Temperature,X_Band 1,X_Damage Accumulation,Battery Voltage,Machine
2020-02-15 05:09:00,0.0024374,1.0124303,0.0481759,0.008165100000000002,0.0036551,65.81021881,0.041955900000000004,0.0104708,0.0027906,65.81021881,0.0019899,0.9619806999999999,3.241709471,Bridgeport Mill 1
2020-02-15 05:18:00,0.0034169000000000005,0.983099,0.0522578,0.0086778,0.0032931999999999996,65.81021881,0.05257719999999999,0.0115188,0.0030248000000000002,65.81021881,0.0027386999999999997,0.9594870000000001,3.241709471,Bridgeport Mill 1
2020-02-15 05:28:00,0.0034582000000000002,0.9936279,0.04763819999999999,0.0103502,0.0033040999999999995,66.27796173,0.0503932,0.0116325,0.003348,66.27796173,0.0017188,0.9723627,3.2412209510000003,Bridgeport Mill 1
2020-02-15 05:38:00,0.0014652,0.9791234000000001,0.0392119,0.006593099999999999,0.0028593000000000004,65.84923401,0.0428264,0.0100441,0.0021837,65.84923401,0.0024722,0.955463,3.2411234380000002,Bridgeport Mill 1
2020-02-15 05:49:00,0.0031839000000000004,0.9771959000000001,0.0512568,0.0126929,0.0033634999999999997,66.04411087,0.0557567,0.010798700000000001,0.0033268,66.04411087,0.0025862,0.9422214,3.2410256860000004,Bridgeport Mill 1
2020-02-15 05:59:00,0.0019878,0.9886914000000001,0.040482599999999994,0.0115368,0.003045,65.1086731,0.047857199999999996,0.0087666,0.0033616,65.1086731,0.0026022,0.9598683000000001,3.240830421,Bridgeport Mill 1
2020-02-15 06:09:00,0.0019844999999999997,1.0047609,0.0469723,0.0081826,0.0032069000000000004,65.38148422,0.042225,0.008835299999999999,0.0029453,65.38148422,0.0028113000000000005,0.9023525,3.2410256860000004,Bridgeport Mill 1
2020-02-15 06:19:00,0.0015765999999999998,0.9887029,0.036805000000000004,0.0076532,0.0028643,65.38148422,0.0484841,0.0097594,0.0025366,65.38148422,0.0019480999999999997,1.0031995999999999,3.2410256860000004,Bridgeport Mill 1
2020-02-15 06:28:00,0.0012909,1.0192137,0.0416833,0.006386800000000001,0.0028366,65.38148422,0.047041900000000005,0.0101285,0.0022660000000000002,65.38148422,0.0025024,0.9349360000000001,3.2410256860000004,Bridgeport Mill 1
2020-02-15 06:38:00,0.0019680999999999995,0.9555167999999999,0.0437924,0.0114875,0.0031793000000000004,64.99172363,0.047875,0.014828999999999998,0.0033244,64.99172363,0.0020307000000000003,0.9412166999999999,3.240634918,Bridgeport Mill 1
2020-02-15 06:48:00,0.0029668000000000003,0.9930928,0.039000400000000005,0.0105644,0.0026358,65.26458626,0.053554399999999995,0.010306999999999998,0.0029423,65.26458626,0.0021825,0.9324629000000001,3.240439415,Bridgeport Mill 1
2020-02-15 06:59:00,0.002477,0.9815283000000001,0.0420264,0.009246299999999999,0.0026358,64.91378937,0.053554399999999995,0.010306999999999998,0.0034178000000000004,64.91378937,0.0021825,0.9324629000000001,3.240439415,Bridgeport Mill 1
2020-02-15 07:09:00,0.0027128,1.0340404,0.048779199999999995,0.009957299999999999,0.0034790999999999997,64.71890564,0.043894800000000005,0.011692600000000001,0.0025749,64.71890564,0.0030269999999999997,0.9453129000000001,3.240341902,Bridgeport Mill 1
2020-02-15 07:19:00,0.0026550999999999996,0.9748197000000001,0.043895300000000005,0.012798100000000001,0.0033777,64.71890564,0.0480285,0.0102329,0.0034762,64.71890564,0.003358,0.9388363000000001,3.240341902,Bridgeport Mill 1
