Time,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Velocity,Machines > Bridgeport Mill 2 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Temperature,Machines > Bridgeport Mill 2 > Spindle > Battery Voltage
2020-02-15 05:02:00,0.0026596,1.0012481,0.0436155,0.0075055,0.0028338,,0.0020844,0.9706077,0.0421384,0.0089599,0.0030537,,
2020-02-15 05:12:00,0.0021423,1.0113088,0.0400934,0.0096137,0.0033005,64.12135925,0.0014178,0.9460466,0.0479212,0.0069609,0.0027021,64.12135925,3.219926596
2020-02-15 05:22:00,0.0020929,1.0060244,0.0501839,0.0108988,0.003302,64.15658417,0.0031308,0.9926581,0.0399028,0.0083008,0.0027271,64.15658417,3.220512867
2020-02-15 05:32:00,0.0013786,1.0468393,0.0428044,0.0083259,0.0030194,63.55766792,0.0020835,0.9685969,0.0472512,0.0075094,0.0026049,63.55766792,3.21924305
2020-02-15 05:41:00,0.0021011,1.006766,0.040209,0.0092112,0.0032804,63.55766792,0.0030232,1.0205947,0.0408278,0.0099562,0.0028075,63.55766792,3.21924305
2020-02-15 05:52:00,0.0028645,0.9891671,0.0416873,0.0090925,0.0029622,63.80426979,0.0018428,1.003425,0.0381945,0.0109379,0.0031684,63.80426979,3.219438314
2020-02-15 06:02:00,0.0032986,1.0296492,0.0449384,0.0102144,0.0031445,63.38151245,0.0020748,0.996893,0.0431993,0.0098193,0.0035342,63.38151245,3.219047546
2020-02-15 06:12:00,0.0025384,0.9961915,0.0484401,0.0126086,0.0036822,63.34624634,0.0037474,0.9250745,0.0441732,0.0093663,0.0032128,63.34624634,3.218852282
2020-02-15 06:22:00,0.002007,0.9343211,0.0416153,0.0100104,0.0032397,63.48718033,0.0012521,1.0245656,0.0385934,0.0077404,0.0030123,63.48718033,3.218559265
2020-02-15 06:32:00,0.003052,1.0221168,0.0472846,0.0094322,0.0034894,63.20535355,0.0022077,1.008317,0.0482001,0.0084066,0.0030194,63.20535355,3.218461514
2020-02-15 06:42:00,0.0017232,1.0106022,0.0399465,0.0116321,0.0034735,63.27579994,0.0026429,0.9981286,0.0399956,0.007103,0.0025845,63.27579994,3.218168497
2020-02-15 06:51:00,0.0019094,1.0401594,0.0436958,0.0106002,0.0029894,63.27579994,0.0022165,0.9822001,0.0510678,0.0093998,0.0027985,63.27579994,3.218168497
2020-02-15 07:02:00,0.0021724,1.030998,0.0394876,0.0088133,0.0026493,63.06441956,0.0012977,0.9827056,0.0429767,0.0087926,0.0029431,63.06441956,3.217582464
2020-02-15 07:12:00,0.0020059,1.0595976,0.0405422,0.0113018,0.0033806,62.92348557,0.002126,0.9834414,0.0395184,0.010546,0.0029802,62.92348557,3.217093945
2020-02-15 07:22:00,0.0032185,1.0171069,0.0479894,0.0135288,0.0038802,62.92348557,0.0042302,0.9691754,0.046333,0.0100411,0.0036301,62.92348557,3.217093945
