Time,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Velocity,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 3 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Temperature,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 3 > Spindle > Battery Voltage
2020-02-22 05:09:00,0.0050943,0.9780779,0.0452678,0.0161751,0.0460333,0.0144766,0.005754,66.78665619,0.0042428,66.78665619,0.0031298,1.0281525,3.132405519
2020-02-22 05:19:00,0.0023195,1.0061859,0.0526678,0.0135892,0.0430832,0.0170832,0.0045102,66.05332565,0.005604,66.05332565,0.0055411,1.0183872,3.132503033
2020-02-22 05:29:00,0.0037051,0.9886236,0.0469644,0.0145528,0.0462461,0.014942,0.0051294,66.12668686,0.0044248,66.12668686,0.0020206,1.0215124,3.132307529
2020-02-22 05:38:00,0.0044013,0.9721055,0.0430042,0.0167727,0.0441846,0.0158449,0.0046385,66.12668686,0.0050927,66.12668686,0.0037328,1.0460545,3.132307529
2020-02-22 05:49:00,0.0036367,1.0009026,0.0472882,0.013648,0.0458598,0.0146935,0.0041236,65.68665695,0.005102,65.68665695,0.0034472,1.0386067,3.132698536
2020-02-22 05:59:00,0.0027498,0.9778273,0.0451389,0.0210478,0.042044,0.020966,0.005479,65.61334381,0.005055,65.61334381,0.002812,1.0449087,3.132600784
2020-02-22 06:09:00,0.0025806,0.9551279,0.0402609,0.018712,0.0463861,0.0175416,0.005473,65.24667511,0.0053889,65.24667511,0.0029828,1.0361267,3.132014513
2020-02-22 06:19:00,0.0046836,1.0042856,0.0484394,0.0183582,0.0454973,0.0153839,0.0057099,65.21001854,0.0049602,65.21001854,0.0044121,1.04007,3.132503033
2020-02-22 06:29:00,0.0063172,0.9906492,0.044726,0.0215853,0.0485661,0.0140442,0.0055885,64.73333206,0.0047059,64.73333206,0.0035026,1.0452365,3.132405519
2020-02-22 06:39:00,0.004289,0.9713328,0.0496811,0.0148434,0.0429418,0.0106628,0.0049524,65.21001854,0.0038544,65.21001854,0.0023224,1.0477655,3.132112265
2020-02-22 06:48:00,0.0036165,0.993364,0.0515722,0.0172598,0.0447815,0.0151417,0.0049406,65.21001854,0.0042981,65.21001854,0.004075,1.0314712,3.132112265
2020-02-22 06:59:00,0.0027372,1.0001717,0.0468598,0.0159034,0.0418138,0.014067,0.0045511,64.69667549,0.0050438,64.69667549,0.0038807,1.0555127,3.132503033
2020-02-22 07:09:00,0.0054197,1.0210334,0.0446891,0.0164902,0.044669,0.0159256,0.0059271,64.47668457,0.004879,64.47668457,0.0034358,1.0504546,3.132405519
2020-02-22 07:19:00,0.0031276,0.9994199,0.0523041,0.014036,0.0466404,0.0201778,0.0045827,64.43998337,0.0062085,64.43998337,0.0059699,1.0646998,3.132210016
2020-02-22 07:29:00,0.0028247,1.0084621,0.0552546,0.0181635,0.047862,0.0129164,0.0047587,64.18333588,0.0046302,64.18333588,0.0036397,1.0338454,3.132210016
2020-02-22 07:39:00,0.007732,1.015583,0.0466923,0.0212207,0.0436034,0.0134288,0.0060125,64.51334457,0.0041811,64.51334457,0.0022373,1.0717683,3.131428719
2020-02-22 07:49:00,0.0023942,0.9963084,0.055216,0.0189226,0.0463273,0.0156087,0.0053219,64.00000153,0.0054414,64.00000153,0.0050644,1.0086788,3.131917
2020-02-22 07:58:00,0.0029788,0.9854077,0.0457642,0.0163992,0.0496922,0.0173356,0.0048671,64.00000153,0.0047192,64.00000153,0.0031342,1.033257,3.131917
2020-02-22 08:09:00,0.0056534,0.9922781,0.0472739,0.0187577,0.0467214,0.0170287,0.0056693,63.52331505,0.00533,63.52331505,0.0018832,1.0567695,3.131526232
2020-02-22 08:19:00,0.0037411,1.0048703,0.0608873,0.0131044,0.0468821,0.0170082,0.0046491,63.96334152,0.0045819,63.96334152,0.0029632,1.043301,3.131721735
2020-02-22 08:29:00,0.0059712,0.9937816,0.046738,0.0167155,0.0488234,0.0178105,0.0060713,63.81666718,0.0054356,63.81666718,0.0044482,1.0461836,3.131526232
2020-02-22 08:39:00,0.0039452,0.9540838,0.0456205,0.0147195,0.0411967,0.0146319,0.0051231,63.66999283,0.0050097,63.66999283,0.0039915,1.0535307,3.131428719
2020-02-22 08:49:00,0.0029164,1.0002552,0.0506736,0.0151082,0.0410307,0.0141818,0.0047727,63.30332413,0.0042776,63.30332413,0.0028605,1.0151201,3.131233215
2020-02-22 08:59:00,0.0031192,0.9669266,0.0413708,0.0129883,0.0399691,0.0139433,0.0048071,63.37668533,0.0046928,63.37668533,0.0033455,1.0087149,3.131917
2020-02-22 09:08:00,0.004822,0.9863056,0.0407742,0.0150279,0.0433847,0.0160352,0.0052427,63.37668533,0.0047334,63.37668533,0.0044465,1.0424622,3.131917
2020-02-22 09:19:00,0.0048707,0.9807926,0.0574308,0.0151379,0.0486251,0.015149,0.0050308,63.44999847,0.0045808,63.44999847,0.0039145,1.0622534,3.131623983
2020-02-22 09:29:00,0.0060316,0.9914636,0.048716,0.0166603,0.0542229,0.0186983,0.006066,63.23001099,0.0047165,63.23001099,0.0022778,1.0357861,3.131135464
2020-02-22 09:39:00,0.0034699,1.0007773,0.0445717,0.0186198,0.0451627,0.0133163,0.0056051,63.4133419,0.0052327,63.4133419,0.0045616,1.0413087,3.131330729
2020-02-22 09:49:00,0.0041811,1.0085456,0.0488402,0.0146424,0.0571885,0.0165337,0.0050118,63.30332413,0.0042239,63.30332413,0.0043064,1.0250582,3.131233215
2020-02-22 09:59:00,0.0035008,1.0001508,0.047814,0.0155535,0.0424153,0.0138895,0.0050572,63.15664978,0.0041686,63.15664978,0.0029204,1.0167949,3.131623983
2020-02-22 10:09:00,0.0043136,1.0108009,0.044987,0.0147238,0.0416094,0.0167557,0.0053706,63.30332413,0.0043723,63.30332413,0.002204,1.0403977,3.130940199
2020-02-22 10:19:00,0.0037011,0.9601815,0.0479529,0.0170981,0.0404435,0.0135219,0.0047561,62.97331543,0.0045805,62.97331543,0.0028695,1.0497578,3.130940199
