Time,Machines > Lathe 1 > MIB > Y-Vertical > RMS Velocity,Machines > Lathe 1 > MIB > Y-Vertical > Temperature,Machines > Lathe 1 > MIB > Y-Vertical > Band 1,Machines > Lathe 1 > MIB > Y-Vertical > Damage Accumulation,Machines > Lathe 1 > MIB > X-Axial > Peak Acceleration,Machines > Lathe 1 > MIB > X-Axial > Peak Velocity,Machines > Lathe 1 > MIB > X-Axial > Band 1,Machines > Lathe 1 > MIB > X-Axial > Damage Accumulation,Machines > Lathe 1 > MIB > X-Axial > RMS Velocity,Machines > Lathe 1 > MIB > X-Axial > Temperature,Machines > Lathe 1 > MIB > Y-Vertical > Peak Acceleration,Machines > Lathe 1 > MIB > Y-Vertical > Peak Velocity,Machines > Lathe 1 > MIB > Battery Voltage
2020-02-15 05:08:00,0.0044986,,0.0032806,0.9889563,0.0501273,0.014286,0.0053107,0.9849459,0.0048929,,0.048234,0.0164179,
2020-02-15 05:18:00,0.0047664,69.12418976,0.0031057,1.0187886,0.0525156,0.0158189,0.0058656,1.0072722,0.0057292,69.12418976,0.0468124,0.0174317,3.227252722
2020-02-15 05:28:00,0.0045822,68.77187881,0.0035309,1.012189,0.0493845,0.0149249,0.0029946,1.0246913,0.0046638,68.77187881,0.0485662,0.0131528,3.227545738
2020-02-15 05:38:00,0.0038504,68.52527695,0.0023349,1.0183065,0.0555978,0.0127264,0.0032719,0.9939866,0.0041321,68.52527695,0.0457376,0.0148627,3.226568937
2020-02-15 05:49:00,0.005412,68.31389656,0.0040037,0.9838173,0.0488145,0.0150649,0.0032041,1.0084854,0.0042886,68.31389656,0.0421953,0.0154672,3.226666689
2020-02-15 05:59:00,0.0038562,68.45478592,0.0019277,0.9948952,0.0463877,0.0148007,0.0033218,0.9805894,0.004846,68.45478592,0.0449643,0.0128581,3.226275921
2020-02-15 06:09:00,0.0045468,68.03202858,0.0037558,0.9767354,0.0476119,0.023752,0.0065625,0.9991033,0.0054737,68.03202858,0.0406661,0.0126042,3.226178408
2020-02-15 06:18:00,0.0053043,68.03202858,0.0027029,1.0100354,0.0480439,0.0143384,0.0039157,1.019438,0.0048452,68.03202858,0.0484174,0.0153958,3.226178408
2020-02-15 06:28:00,0.004679,67.92631607,0.0030105,1.014548,0.0470201,0.0155559,0.0036649,0.9900489,0.0050879,67.92631607,0.0517215,0.0182781,3.225885153
2020-02-15 06:38:00,0.004382,67.82064819,0.0021114,0.9864308,0.0459638,0.0163568,0.0044617,0.9902742,0.0054268,67.82064819,0.0432445,0.0136394,3.22529912
2020-02-15 06:48:00,0.0037508,67.50355873,0.0027164,1.0216812,0.0481716,0.0144662,0.0036842,0.9852622,0.0051014,67.50355873,0.0444304,0.0130345,3.225006104
2020-02-15 06:59:00,0.0051729,67.6797142,0.0054841,1.000061,0.0469944,0.0201418,0.0038899,1.0005736,0.0054149,67.6797142,0.0479822,0.0185341,3.225201607
2020-02-15 07:09:00,0.0043609,67.53878021,0.0023684,0.9909506,0.047593,0.0155413,0.0064585,0.9797609,0.005144,67.53878021,0.0465531,0.0154279,3.224322319
