Time,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage
2020-02-22 05:09:00,0.0489516,0.0117905,0.0022285,0.9488989,0.0034012,65.06970596,0.0032923,65.06970596,0.0469202,0.010481,0.0035139,0.9624555,3.15995121
2020-02-22 05:19:00,0.0525668,0.0104037,0.0020892,0.9400265,0.002929,64.83580704,0.003018,64.83580704,0.0384346,0.0100425,0.002155,0.9646303,3.160048962
2020-02-22 05:29:00,0.0441432,0.0100513,0.0023452,0.9441742,0.0025948,64.75787277,0.0037109,64.75787277,0.0397786,0.0079843,0.0016761,0.9302244,3.159755945
2020-02-22 05:38:00,0.0451947,0.0105998,0.0035177,0.9461115,0.0030332,64.75787277,0.0035163,64.75787277,0.0479756,0.0098422,0.0017063,0.9776447,3.159755945
2020-02-22 05:49:00,0.0438289,0.009189,0.0031621,0.9575291,0.0030137,64.75787277,0.0034612,64.75787277,0.0430736,0.0083185,0.0019305,0.9751995,3.159755945
2020-02-22 05:59:00,0.0398699,0.0083558,0.0015423,0.9544531,0.0032967,64.87482224,0.0031908,64.87482224,0.0444625,0.0097516,0.0026521,1.0272455,3.160146475
2020-02-22 06:09:00,0.0477509,0.0099396,0.0034764,0.9493317,0.0025856,64.64092331,0.0034003,64.64092331,0.0439153,0.0084116,0.001726,0.9750614,3.160244226
2020-02-22 06:19:00,0.0485882,0.0086772,0.0022382,0.9765001,0.0029135,64.44604301,0.0030002,64.44604301,0.048379,0.009187,0.0018751,0.9637155,3.15946269
2020-02-22 06:29:00,0.047804,0.0093842,0.0035674,0.9598116,0.0027943,64.64092331,0.0031432,64.64092331,0.0415942,0.0082381,0.001841,0.9816031,3.159657955
2020-02-22 06:39:00,0.0431684,0.0082242,0.002048,0.9345393,0.0031689,64.44604301,0.0029754,64.44604301,0.041839,0.0112597,0.0028666,0.9526515,3.159755945
