Time,Machines > Lathe 1 > MIB > X-Axial > Peak Acceleration,Machines > Lathe 1 > MIB > X-Axial > Peak Velocity,Machines > Lathe 1 > MIB > X-Axial > Band 1,Machines > Lathe 1 > MIB > X-Axial > Damage Accumulation,Machines > Lathe 1 > MIB > Y-Vertical > RMS Velocity,Machines > Lathe 1 > MIB > Y-Vertical > Temperature,Machines > Lathe 1 > MIB > X-Axial > RMS Velocity,Machines > Lathe 1 > MIB > X-Axial > Temperature,Machines > Lathe 1 > MIB > Y-Vertical > Band 1,Machines > Lathe 1 > MIB > Y-Vertical > Damage Accumulation,Machines > Lathe 1 > MIB > Y-Vertical > Peak Acceleration,Machines > Lathe 1 > MIB > Y-Vertical > Peak Velocity,Machines > Lathe 1 > MIB > Battery Voltage
2020-02-22 05:00:00,0.0504147,0.0161297,0.004321,1.0089566,0.0048718,,0.0059923,,0.0032981,1.0259442,0.0512273,0.0181746,
2020-02-22 05:10:00,0.0440885,0.0135372,0.0029358,1.0098966,0.0040749,74.69075623,0.0048144,74.69075623,0.0019854,1.0009324,0.0490014,0.0128508,3.128205061
2020-02-22 05:20:00,0.0432849,0.0184688,0.0057826,0.9747352,0.0044677,73.809972,0.0055186,73.809972,0.0029438,1.017734,0.0479268,0.0128916,3.129181862
2020-02-22 05:30:00,0.0486858,0.0139042,0.0034551,0.9770774,0.0039042,72.7530323,0.004761,72.7530323,0.0039397,1.0083666,0.046532,0.0124308,3.128302813
2020-02-22 05:40:00,0.0479814,0.0198071,0.0042622,1.0280736,0.0052373,72.47116776,0.0048702,72.47116776,0.0054174,0.985227,0.0440966,0.0166559,3.128009796
2020-02-22 05:50:00,0.0458196,0.0141882,0.0026753,0.9813678,0.005121,72.47116776,0.0051624,72.47116776,0.0051383,1.0062377,0.0485686,0.015797,3.128009796
2020-02-22 06:00:00,0.0440423,0.0130488,0.0057779,1.0120225,0.004159,71.90747299,0.0054006,71.90747299,0.0036383,0.9729133,0.051949,0.0136938,3.128693581
2020-02-22 06:10:00,0.0441601,0.0178,0.0048944,0.9917833,0.0039186,71.06191368,0.0055361,71.06191368,0.0027649,1.0223566,0.0513452,0.015361,3.128693581
2020-02-22 06:20:00,0.0468165,0.0192149,0.002519,1.0272884,0.0046962,70.63915634,0.0050314,70.63915634,0.0035352,1.0084425,0.0447978,0.0146453,3.128498316
2020-02-22 06:30:00,0.0507388,0.0131389,0.0037912,1.0020326,0.0046606,70.67437782,0.0041584,70.67437782,0.0041551,1.01746,0.045785,0.014444,3.128009796
2020-02-22 06:40:00,0.0483585,0.015517,0.0036447,0.9934858,0.0042401,70.25162048,0.0049876,70.25162048,0.0038978,1.0312566,0.0449634,0.0140868,3.128498316
2020-02-22 06:49:00,0.0527267,0.0186328,0.0029027,1.0026722,0.0042401,70.25162048,0.005294,70.25162048,0.0038978,1.0312566,0.0449634,0.0140868,3.128498316
2020-02-22 07:00:00,0.0465684,0.015527,0.0031785,1.0030819,0.0043703,69.93452759,0.0045879,69.93452759,0.0051589,0.9838885,0.0412508,0.0139073,3.128205061
2020-02-22 07:10:00,0.0460514,0.0177219,0.0034801,1.0091068,0.0049541,69.68788452,0.0051295,69.68788452,0.0043103,1.0194398,0.0448895,0.0166724,3.128302813
2020-02-22 07:20:00,0.0517393,0.0150123,0.003917,1.0135884,0.0043845,69.51172562,0.0047924,69.51172562,0.0025872,1.0081049,0.0507875,0.0125704,3.127814531
