Time,Machines > Drill Press > MIB > X-Horizontal > Peak Acceleration,Machines > Drill Press > MIB > X-Horizontal > Peak Velocity,Machines > Drill Press > MIB > X-Horizontal > Band 1,Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,Machines > Drill Press > MIB > Y-Radial > RMS Velocity,Machines > Drill Press > MIB > Y-Radial > Temperature,Machines > Drill Press > MIB > Y-Radial > Peak Acceleration,Machines > Drill Press > MIB > Y-Radial > Peak Velocity,Machines > Drill Press > MIB > X-Horizontal > RMS Velocity,Machines > Drill Press > MIB > X-Horizontal > Temperature,Machines > Drill Press > MIB > Y-Radial > Band 1,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation,Machines > Drill Press > MIB > Battery Voltage
2020-02-22 05:09:00,0.0324445,0.0130475,0.0029607,0.3690001,0.0045092,65.99586029,0.028544,0.0142242,0.0042286,65.99586029,0.0038967,0.3475908,3.157411337
2020-02-22 05:19:00,0.0354347,0.0120921,0.0025534,0.3737297,0.0054083,65.92783432,0.0332482,0.0156111,0.0045337,65.92783432,0.0027235,0.3656463,3.157704353
2020-02-22 05:29:00,0.0317737,0.0129062,0.003474,0.3618323,0.0049521,65.96184731,0.0313592,0.0159897,0.0046751,65.96184731,0.0050796,0.3594094,3.157216072
2020-02-22 05:39:00,0.0370846,0.0174835,0.0043361,0.3654555,0.0043082,65.79174461,0.0351341,0.0164607,0.0044996,65.79174461,0.0026328,0.3777835,3.157704353
2020-02-22 05:50:00,0.0329188,0.0124895,0.0036223,0.3588897,0.0047386,65.89382477,0.026849,0.0142519,0.0045481,65.89382477,0.0038963,0.3723281,3.157216072
2020-02-22 06:00:00,0.0341672,0.015901,0.0030628,0.3692387,0.0038801,65.79174461,0.0296102,0.0107728,0.0049201,65.79174461,0.0033296,0.3674407,3.156825542
2020-02-22 06:09:00,0.034867,0.0134221,0.0026671,0.3608532,0.0045825,65.79174461,0.027811,0.0135459,0.0042451,65.79174461,0.0036278,0.3688083,3.156825542
2020-02-22 06:19:00,0.0361804,0.0146263,0.0058395,0.3785329,0.0048517,65.68970566,0.031167,0.0132508,0.005241,65.68970566,0.0029962,0.370735,3.15760684
2020-02-22 06:29:00,0.0451927,0.0154991,0.0030902,0.3698543,0.0038597,65.65565491,0.0385465,0.0140388,0.004996,65.65565491,0.0031812,0.3670921,3.157118559
2020-02-22 06:39:00,0.0318724,0.0175643,0.0034075,0.3604599,0.0043406,66.2680397,0.0279781,0.0133064,0.0052194,66.2680397,0.0031745,0.3543597,3.157411337
2020-02-22 06:49:00,0.0294672,0.0170977,0.004787,0.3526982,0.0042572,65.41752625,0.0260588,0.0144486,0.0045867,65.41752625,0.0029017,0.3554718,3.156923056
2020-02-22 07:00:00,0.0327927,0.014082,0.0031403,0.3668712,0.0053381,65.68970566,0.0322151,0.0159251,0.0043691,65.68970566,0.0031983,0.3403018,3.156532288
2020-02-22 07:10:00,0.033516,0.0145381,0.0031997,0.3725772,0.0047481,66.30205269,0.0268057,0.0144161,0.0045653,66.30205269,0.0048382,0.3635363,3.156239271
2020-02-22 07:19:00,0.0302354,0.0135231,0.0048237,0.3814536,0.0049034,66.30205269,0.0305699,0.0156132,0.0044037,66.30205269,0.0046376,0.3506626,3.156239271
2020-02-22 07:29:00,0.0323714,0.016026,0.0028906,0.3618377,0.004339,65.65565491,0.0311958,0.0143377,0.0052141,65.65565491,0.003762,0.3410202,3.156825542
2020-02-22 07:39:00,0.0340856,0.0125068,0.0046473,0.3716091,0.0051698,65.68970566,0.0317637,0.0168435,0.0047941,65.68970566,0.0038055,0.3642065,3.157020807
2020-02-22 07:49:00,0.0355575,0.012951,0.0042415,0.3586998,0.0045287,65.72372208,0.0319256,0.013676,0.0049062,65.72372208,0.0040321,0.3502328,3.157216072
2020-02-22 07:59:00,0.0344114,0.012705,0.0027922,0.3794631,0.0047054,65.79174461,0.0296166,0.0145631,0.003983,65.79174461,0.0022009,0.3650512,3.156727552
2020-02-22 08:10:00,0.0363038,0.0133826,0.0053565,0.3654879,0.0044654,65.96184731,0.0259895,0.0130023,0.0049157,65.96184731,0.0022666,0.3696169,3.156141758
2020-02-22 08:20:00,0.0337651,0.0130238,0.0024588,0.3612193,0.0038613,66.30205269,0.0297563,0.0148259,0.0048097,66.30205269,0.0020665,0.3700798,3.155555487
2020-02-22 08:29:00,0.0354709,0.0148957,0.0029445,0.3678638,0.0049756,66.30205269,0.0254902,0.0132676,0.004159,66.30205269,0.0028518,0.3552043,3.155555487
2020-02-22 08:39:00,0.0316935,0.0141669,0.0045034,0.3666813,0.0046498,65.85980835,0.032029,0.0130539,0.0054794,65.85980835,0.0033718,0.369175,3.156239271
2020-02-22 08:49:00,0.0294049,0.0135588,0.0048871,0.3384167,0.0041466,65.8257576,0.0329452,0.0131718,0.005175,65.8257576,0.0035904,0.356584,3.155750751
2020-02-22 08:59:00,0.0342477,0.0153431,0.0035696,0.3640018,0.0044156,65.68970566,0.0298624,0.0111115,0.0042957,65.68970566,0.0031235,0.3685018,3.156337023
2020-02-22 09:09:00,0.0367459,0.0130841,0.0043642,0.3721569,0.0046493,65.68970566,0.0294715,0.0125986,0.0046352,65.68970566,0.0033775,0.3624722,3.156337023
2020-02-22 09:20:00,0.0409448,0.0145957,0.0038002,0.3464469,0.0050859,65.79174461,0.0309624,0.0157954,0.0044297,65.79174461,0.003422,0.3540922,3.155750751
2020-02-22 09:30:00,0.0314057,0.0137868,0.0034784,0.3639449,0.0043965,65.55361595,0.0290536,0.012422,0.0046124,65.55361595,0.0034928,0.3616126,3.156044006
2020-02-22 09:40:00,0.034557,0.0136053,0.004423,0.3640479,0.0041312,65.89382477,0.0289705,0.0135342,0.0046136,65.89382477,0.0048281,0.3599594,3.156825542
2020-02-22 09:49:00,0.0326477,0.0133238,0.0041826,0.3594701,0.0052452,65.89382477,0.026509,0.0160615,0.0044259,65.89382477,0.0029999,0.342478,3.156825542
2020-02-22 09:59:00,0.0317484,0.0125988,0.0035312,0.369632,0.0053532,66.4381424,0.0326187,0.0149409,0.0050606,66.4381424,0.0067557,0.3847929,3.156141758
2020-02-22 10:09:00,0.0332539,0.0153044,0.0031354,0.3652956,0.0037527,65.65565491,0.0268613,0.0111086,0.0051763,65.65565491,0.003171,0.3556883,3.156239271
2020-02-22 10:19:00,0.0328978,0.0154634,0.0027636,0.369887,0.0044078,65.48555222,0.0244542,0.0128022,0.0047107,65.48555222,0.0044478,0.3550871,3.156727552
2020-02-22 10:30:00,0.0352051,0.0181987,0.0024139,0.3498478,0.0051492,65.8257576,0.0322957,0.0147451,0.0051112,65.8257576,0.0048978,0.3683905,3.156337023
