Time,Machines > Bridgeport Mill 3 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Temperature,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 3 > Spindle > Battery Voltage,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Velocity
2020-02-15 05:08:00,0.0056292,,0.0032287,0.9987726,,,,,,,,0.0488248,0.0182531
2020-02-15 05:18:00,0.0065285,63.08333321,0.0052199,0.9852198,0.0491428,0.0144613,0.0040188,63.08333321,0.0030283,1.0158711,3.233992815,0.0463485,0.0179986
2020-02-15 05:28:00,0.0052802,62.53333359,0.0048614,0.9585527,0.0453545,0.0154488,0.0050041,62.53333359,0.0046084,1.0365138,3.233992815,0.0508436,0.0170912
2020-02-15 05:38:00,0.0052979,62.38665924,0.0049413,0.9788923,0.0418329,0.0173142,0.004227,62.38665924,0.0033971,1.0276595,3.233992815,0.0501895,0.0163916
2020-02-15 05:49:00,0.0057947,62.90000229,0.0038719,0.992466,0.0413265,0.0121232,0.0046653,62.90000229,0.002492,1.051461,3.233211279,0.0537592,0.0168194
2020-02-15 05:59:00,0.0055098,62.46002045,0.0052751,0.9725231,0.0404136,0.0134992,0.0049552,62.46002045,0.003773,1.0226582,3.233016014,0.050458,0.0178514
2020-02-15 06:09:00,0.0054847,62.68000793,0.0047706,0.9828391,0.0461433,0.0132021,0.0043745,62.68000793,0.0033434,1.0349602,3.232722759,0.0439139,0.0187069
2020-02-15 06:19:00,0.0049681,62.60664673,0.0036812,1.0140795,0.0408374,0.0150933,0.0051765,62.60664673,0.0036893,1.0309396,3.23233223,0.0473788,0.0139165
2020-02-15 06:28:00,0.004569,62.60664673,0.0034049,0.9945125,0.045374,0.0138491,0.0047082,62.60664673,0.0053432,1.0325912,3.23233223,0.044236,0.0131132
2020-02-15 06:38:00,0.0047076,62.56999359,0.0027523,0.9811894,0.0420535,0.0190579,0.00517,62.56999359,0.0032615,1.0334635,3.23233223,0.0526245,0.0160327
